UniProt Accession	Ensembl Gene ID	Gene Symbol	
P09211	ENSG00000084207	GSTP1	
Q8IZQ5	ENSG00000211450	SELENOH	
Q14654	ENSG00000187486	KCNJ11	
Q03167	ENSG00000069702	TGFBR3	
Q6PJ21	ENSG00000162032	SPSB3	
Q9UHP9	ENSG00000091482	SMPX	
P12270	ENSG00000047410	TPR	
Q06432	ENSG00000108878	CACNG1	
Q8NCF5	ENSG00000176953	NFATC2IP	
Q96KF7	ENSG00000111850	SMIM8	
Q8TF32	ENSG00000196705	ZNF431	
P10606	ENSG00000135940	COX5B	
O95755	ENSG00000100228	RAB36	
O95271	ENSG00000173273	TNKS	
Q8NCR9	ENSG00000180745	CLRN3	
P48553	ENSG00000160218	TRAPPC10	
P60602	ENSG00000125995	ROMO1	
Q9BTE7	ENSG00000137692	DCUN1D5	
Q9NQH7	ENSG00000196236	XPNPEP3	
Q6ZVN7	ENSG00000127922	SEM1	
Q9BXI9	ENSG00000133466	C1QTNF6	
P49447	ENSG00000008283	CYB561	
P08648	ENSG00000161638	ITGA5	
P02765	ENSG00000145192	AHSG	
O15143	ENSG00000130429	ARPC1B	
O75477	ENSG00000107566	ERLIN1	
Q96NY7	ENSG00000159212	CLIC6	
Q16799	ENSG00000139970	RTN1	
O60481	ENSG00000156925	ZIC3	
Q8NHC7	ENSG00000177174	OR14C36	
Q9BXA5	ENSG00000198829	SUCNR1	
O76050	ENSG00000107954	NEURL1	
O43506	ENSG00000134007	ADAM20	
Q9Y2Y1	ENSG00000161980	POLR3K	
Q9NYB5	ENSG00000139155	SLCO1C1	
P10915	ENSG00000145681	HAPLN1	
Q02252	ENSG00000119711	ALDH6A1	
Q9HCH3	ENSG00000124772	CPNE5	
Q9BR10	ENSG00000149634	SPATA25	
Q6P9F0	ENSG00000130783	CCDC62	
Q14146	ENSG00000135763	URB2	
Q8NFF2	ENSG00000140090	SLC24A4	
Q8N1B4	ENSG00000236014; ENSG00000223501; ENSG00000206286; ENSG00000225590; ENSG00000224455; ENSG00000228425; ENSG00000223618	VPS52	
Q6ZWI9	ENSG00000251258	RFPL4B	
Q6U949	ENSG00000099869	IGF2-AS	
Q96M61	ENSG00000176774	MAGEB18	
P0CG47	ENSG00000170315	UBB	
P20807	ENSG00000092529	CAPN3	
O43166	ENSG00000197555	SIPA1L1	
Q8NH10	ENSG00000172199	OR8U1	
Q9UFG5	ENSG00000119559	C19orf25	
Q0Z7S8	ENSG00000205186	FABP9	
Q8NEQ6	ENSG00000183888	SRARP	
Q6P5X7	ENSG00000165071	TMEM71	
P17542	ENSG00000162367	TAL1	
A0A0A0MT94	-	TRBJ2-2	
Q13241	ENSG00000134539	KLRD1	
Q07955	ENSG00000136450	SRSF1	
Q8N142	ENSG00000185100	ADSSL1	
O94892	ENSG00000256087	ZNF432	
P48995	ENSG00000144935	TRPC1	
P27539	ENSG00000223802	GDF1	
Q86YW9	ENSG00000144893	MED12L	
Q6PJW8	ENSG00000162852	CNST	
Q8N4T4	ENSG00000137135	ARHGEF39	
O15119	ENSG00000135111	TBX3	
Q7Z6R9	ENSG00000008197	TFAP2D	
O95988	ENSG00000213231	TCL1B	
P28340	ENSG00000062822	POLD1	
A0A1B0GUS4	ENSG00000236444	UBE2L5	
P18509	ENSG00000141433	ADCYAP1	
O60291	ENSG00000102858	MGRN1	
Q6UXL0	ENSG00000174564	IL20RB	
A6NEL3	ENSG00000160172	FAM86C2P	
Q70IA8	ENSG00000142961	MOB3C	
Q8NGM8	ENSG00000196099	OR6M1	
Q7RTP6	ENSG00000243156	MICAL3	
Q9P2B4	ENSG00000143079	CTTNBP2NL	
Q14166	ENSG00000100304	TTLL12	
Q5T4S7	ENSG00000127481	UBR4	
Q5GAN3	ENSG00000206150	RNASE13	
P31269	ENSG00000078399	HOXA9	
Q2M218	ENSG00000221994	ZNF630	
Q30KQ4	ENSG00000215545	DEFB116	
Q08043	ENSG00000248746	ACTN3	
P51511	ENSG00000102996	MMP15	
Q56A73	ENSG00000186767	SPIN4	
Q00688	ENSG00000100442	FKBP3	
O00748	ENSG00000172831	CES2	
P04731	ENSG00000205362	MT1A	
Q9Y4R8	ENSG00000100726	TELO2	
P41271	ENSG00000158747	NBL1	
Q6ZWT7	ENSG00000143797	MBOAT2	
Q9H0I3	ENSG00000103021	CCDC113	
P51784	ENSG00000102226	USP11	
P41220	ENSG00000116741	RGS2	
A6NI56	ENSG00000197599	CCDC154	
Q99946	ENSG00000235956; ENSG00000225141; ENSG00000204314; ENSG00000206331; ENSG00000229488; ENSG00000227122; ENSG00000238056; ENSG00000229071	PRRT1	
Q8WW33	ENSG00000170627	GTSF1	
Q7L9L4	ENSG00000173542	MOB1B	
P54652	ENSG00000126803	HSPA2	
P25815	ENSG00000163993	S100P	
Q96J92	ENSG00000126562	WNK4	
Q3KR16	ENSG00000008323	PLEKHG6	
Q92945	ENSG00000088247	KHSRP	
Q14160	ENSG00000274287; ENSG00000180900	SCRIB	
Q9UQQ2	ENSG00000111252	SH2B3	
Q9BXM9	ENSG00000106701	FSD1L	
Q96LU7	ENSG00000166268	MYRFL	
Q9HC10	ENSG00000115155	OTOF	
Q56P03	ENSG00000129518	EAPP	
Q7L5Y1	ENSG00000132199	ENOSF1	
Q5VZ46	ENSG00000135835	KIAA1614	
Q9BPZ7	ENSG00000119487	MAPKAP1	
Q6WN34	ENSG00000054938	CHRDL2	
Q9H9Y4	ENSG00000142751	GPN2	
Q16625	ENSG00000273814; ENSG00000197822	OCLN	
Q7RTY9	ENSG00000215148	PRSS41	
Q68CP4	ENSG00000165102	HGSNAT	
K7EIQ3	ENSG00000267106	ZNF561-AS1	
Q2M3M2	ENSG00000117834	SLC5A9	
Q86YC2	ENSG00000083093	PALB2	
Q9BYU5	ENSG00000212725; ENSG00000261852; ENSG00000214518; ENSG00000262731	KRTAP2-1	
Q14324	ENSG00000086967	MYBPC2	
Q96HJ9	ENSG00000164898; ENSG00000269955	FMC1	
Q9NY43	ENSG00000143032	BARHL2	
Q96N06	ENSG00000167523	SPATA33	
Q8NBE8	ENSG00000213160	KLHL23	
P35670	ENSG00000123191	ATP7B	
A0A0B4J2A2	ENSG00000263464	PPIAL4C	
Q9Y2J2	ENSG00000082397	EPB41L3	
Q9BYV9	ENSG00000112182	BACH2	
O60869	ENSG00000107223	EDF1	
Q86VS8	ENSG00000168172	HOOK3	
O95295	ENSG00000143553	SNAPIN	
Q15477	ENSG00000232616; ENSG00000225737; ENSG00000204351; ENSG00000223493; ENSG00000228896; ENSG00000206353	SKIV2L	
A0A0C4DH62	-	IGHJ1	
Q9NVH6	ENSG00000185973	TMLHE	
Q8IYL2	ENSG00000155275	TRMT44	
Q9P031	ENSG00000133773	CCDC59	
Q3ZCM7	ENSG00000261456	TUBB8	
Q9NX47	ENSG00000198060	MARCH5	
Q9P1A6	ENSG00000198010; ENSG00000274161; ENSG00000282318; ENSG00000282152	DLGAP2	
Q8NGF4	ENSG00000172464	OR5AP2	
Q16828	ENSG00000139318	DUSP6	
Q15013	ENSG00000124688	MAD2L1BP	
Q8NGR1	ENSG00000256574; ENSG00000277495	OR13A1	
Q8NGI7	ENSG00000172289	OR10V1	
Q86TL2	ENSG00000213533	STIMATE	
Q96EE4	ENSG00000169193	CCDC126	
Q9BXI2	ENSG00000120329	SLC25A2	
O60240	ENSG00000166819	PLIN1	
P63316	ENSG00000114854	TNNC1	
Q8NH67	ENSG00000226288	OR52I2	
Q13651	ENSG00000110324	IL10RA	
